file,column,dtype,rows,null_count,null_percent,non_null_count
data/raw/chicago/202507-divvy-tripdata.parquet,end_station_id,VARCHAR,763432,181506,23.78,581926
data/raw/chicago/202507-divvy-tripdata.parquet,end_station_name,VARCHAR,763432,181506,23.78,581926
data/raw/chicago/202510-divvy-tripdata.parquet,end_station_id,VARCHAR,646039,153466,23.75,492573
data/raw/chicago/202510-divvy-tripdata.parquet,end_station_name,VARCHAR,646039,153466,23.75,492573
data/raw/chicago/202508-divvy-tripdata.parquet,end_station_id,VARCHAR,790177,184760,23.38,605417
data/raw/chicago/202508-divvy-tripdata.parquet,end_station_name,VARCHAR,790177,184760,23.38,605417
data/raw/chicago/202506-divvy-tripdata.parquet,end_station_id,VARCHAR,678904,156772,23.09,522132
data/raw/chicago/202506-divvy-tripdata.parquet,end_station_name,VARCHAR,678904,156772,23.09,522132
data/raw/chicago/202509-divvy-tripdata.parquet,end_station_id,VARCHAR,714759,164483,23.01,550276
data/raw/chicago/202509-divvy-tripdata.parquet,end_station_name,VARCHAR,714759,164483,23.01,550276
data/raw/chicago/202511-divvy-tripdata.parquet,end_station_id,VARCHAR,356628,81896,22.96,274732
data/raw/chicago/202511-divvy-tripdata.parquet,end_station_name,VARCHAR,356628,81896,22.96,274732
data/raw/chicago/202507-divvy-tripdata.parquet,start_station_id,VARCHAR,763432,173529,22.73,589903
data/raw/chicago/202507-divvy-tripdata.parquet,start_station_name,VARCHAR,763432,173529,22.73,589903
data/raw/chicago/202510-divvy-tripdata.parquet,start_station_id,VARCHAR,646039,144979,22.44,501060
data/raw/chicago/202510-divvy-tripdata.parquet,start_station_name,VARCHAR,646039,144979,22.44,501060
data/raw/chicago/202508-divvy-tripdata.parquet,start_station_id,VARCHAR,790177,177121,22.42,613056
data/raw/chicago/202508-divvy-tripdata.parquet,start_station_name,VARCHAR,790177,177121,22.42,613056
data/raw/chicago/202506-divvy-tripdata.parquet,start_station_id,VARCHAR,678904,150904,22.23,528000
data/raw/chicago/202506-divvy-tripdata.parquet,start_station_name,VARCHAR,678904,150904,22.23,528000
data/raw/chicago/202509-divvy-tripdata.parquet,start_station_id,VARCHAR,714759,156261,21.86,558498
data/raw/chicago/202509-divvy-tripdata.parquet,start_station_name,VARCHAR,714759,156261,21.86,558498
data/raw/chicago/202511-divvy-tripdata.parquet,start_station_id,VARCHAR,356628,76280,21.39,280348
data/raw/chicago/202511-divvy-tripdata.parquet,start_station_name,VARCHAR,356628,76280,21.39,280348
data/raw/chicago/202505-divvy-tripdata.parquet,end_station_id,VARCHAR,502456,107436,21.38,395020
data/raw/chicago/202505-divvy-tripdata.parquet,end_station_name,VARCHAR,502456,107436,21.38,395020
data/raw/chicago/202512-divvy-tripdata.parquet,end_station_id,VARCHAR,140534,30045,21.38,110489
data/raw/chicago/202512-divvy-tripdata.parquet,end_station_name,VARCHAR,140534,30045,21.38,110489
data/raw/chicago/202505-divvy-tripdata.parquet,start_station_id,VARCHAR,502456,103360,20.57,399096
data/raw/chicago/202505-divvy-tripdata.parquet,start_station_name,VARCHAR,502456,103360,20.57,399096
data/raw/chicago/202504-divvy-tripdata.parquet,end_station_id,VARCHAR,371341,73635,19.83,297706
data/raw/chicago/202504-divvy-tripdata.parquet,end_station_name,VARCHAR,371341,73635,19.83,297706
data/raw/chicago/202503-divvy-tripdata.parquet,end_station_id,VARCHAR,298155,57984,19.45,240171
data/raw/chicago/202503-divvy-tripdata.parquet,end_station_name,VARCHAR,298155,57984,19.45,240171
data/raw/chicago/202504-divvy-tripdata.parquet,start_station_id,VARCHAR,371341,71196,19.17,300145
data/raw/chicago/202504-divvy-tripdata.parquet,start_station_name,VARCHAR,371341,71196,19.17,300145
data/raw/chicago/202512-divvy-tripdata.parquet,start_station_id,VARCHAR,140534,26926,19.16,113608
data/raw/chicago/202512-divvy-tripdata.parquet,start_station_name,VARCHAR,140534,26926,19.16,113608
data/raw/chicago/202503-divvy-tripdata.parquet,start_station_id,VARCHAR,298155,55337,18.56,242818
data/raw/chicago/202503-divvy-tripdata.parquet,start_station_name,VARCHAR,298155,55337,18.56,242818
data/raw/chicago/202502-divvy-tripdata.parquet,end_station_id,VARCHAR,151880,27249,17.94,124631
data/raw/chicago/202502-divvy-tripdata.parquet,end_station_name,VARCHAR,151880,27249,17.94,124631
data/raw/chicago/202501-divvy-tripdata.parquet,end_station_id,VARCHAR,138689,24073,17.36,114616
data/raw/chicago/202501-divvy-tripdata.parquet,end_station_name,VARCHAR,138689,24073,17.36,114616
data/raw/chicago/202502-divvy-tripdata.parquet,start_station_id,VARCHAR,151880,25928,17.07,125952
data/raw/chicago/202502-divvy-tripdata.parquet,start_station_name,VARCHAR,151880,25928,17.07,125952
data/raw/chicago/202501-divvy-tripdata.parquet,start_station_id,VARCHAR,138689,22852,16.48,115837
data/raw/chicago/202501-divvy-tripdata.parquet,start_station_name,VARCHAR,138689,22852,16.48,115837
data/raw/nyc/202506-citibike-tripdata_5.parquet,end_station_id,VARCHAR,759345,9061,1.19,750284
data/raw/nyc/202506-citibike-tripdata_5.parquet,end_lat,DOUBLE,759345,9048,1.19,750297
data/raw/nyc/202506-citibike-tripdata_5.parquet,end_lng,DOUBLE,759345,9048,1.19,750297
data/raw/nyc/202506-citibike-tripdata_5.parquet,end_station_name,VARCHAR,759345,8992,1.18,750353
data/raw/nyc/202502-citibike-tripdata_3.parquet,end_station_id,VARCHAR,31257,331,1.06,30926
data/raw/nyc/202502-citibike-tripdata_3.parquet,end_station_name,VARCHAR,31257,330,1.06,30927
data/raw/nyc/202502-citibike-tripdata_3.parquet,end_lat,DOUBLE,31257,329,1.05,30928
data/raw/nyc/202502-citibike-tripdata_3.parquet,end_lng,DOUBLE,31257,329,1.05,30928
data/raw/nyc/202507-citibike-tripdata_4.parquet,end_station_id,VARCHAR,1000000,9913,0.99,990087
data/raw/nyc/202507-citibike-tripdata_4.parquet,end_lat,DOUBLE,1000000,9906,0.99,990094
data/raw/nyc/202507-citibike-tripdata_4.parquet,end_lng,DOUBLE,1000000,9906,0.99,990094
data/raw/nyc/202507-citibike-tripdata_4.parquet,end_station_name,VARCHAR,1000000,9725,0.97,990275
data/raw/nyc/202507-citibike-tripdata_1.parquet,end_station_id,VARCHAR,1000000,8422,0.84,991578
data/raw/nyc/202507-citibike-tripdata_1.parquet,end_lat,DOUBLE,1000000,8414,0.84,991586
data/raw/nyc/202507-citibike-tripdata_1.parquet,end_lng,DOUBLE,1000000,8414,0.84,991586
data/raw/nyc/202507-citibike-tripdata_1.parquet,end_station_name,VARCHAR,1000000,8301,0.83,991699
data/raw/nyc/202503-citibike-tripdata_2.parquet,end_station_id,VARCHAR,1000000,8131,0.81,991869
data/raw/nyc/202503-citibike-tripdata_2.parquet,end_lat,DOUBLE,1000000,8114,0.81,991886
data/raw/nyc/202503-citibike-tripdata_2.parquet,end_lng,DOUBLE,1000000,8114,0.81,991886
data/raw/nyc/202503-citibike-tripdata_2.parquet,end_station_name,VARCHAR,1000000,7993,0.8,992007
data/raw/nyc/202506-citibike-tripdata_1.parquet,end_station_id,VARCHAR,1000000,7358,0.74,992642
data/raw/nyc/202506-citibike-tripdata_1.parquet,end_lat,DOUBLE,1000000,7350,0.73,992650
data/raw/nyc/202506-citibike-tripdata_1.parquet,end_lng,DOUBLE,1000000,7350,0.73,992650
data/raw/nyc/202506-citibike-tripdata_1.parquet,end_station_name,VARCHAR,1000000,7182,0.72,992818
data/raw/nyc/202509-citibike-tripdata_3.parquet,end_station_id,VARCHAR,1000000,6475,0.65,993525
data/raw/nyc/202509-citibike-tripdata_3.parquet,end_lat,DOUBLE,1000000,6467,0.65,993533
data/raw/nyc/202509-citibike-tripdata_3.parquet,end_lng,DOUBLE,1000000,6467,0.65,993533
data/raw/nyc/202509-citibike-tripdata_3.parquet,end_station_name,VARCHAR,1000000,6312,0.63,993688
data/raw/nyc/202508-citibike-tripdata_5.parquet,end_station_id,VARCHAR,1000000,6280,0.63,993720
data/raw/nyc/202508-citibike-tripdata_5.parquet,end_lat,DOUBLE,1000000,6273,0.63,993727
data/raw/nyc/202508-citibike-tripdata_5.parquet,end_lng,DOUBLE,1000000,6273,0.63,993727
data/raw/nyc/202508-citibike-tripdata_1.parquet,end_station_id,VARCHAR,1000000,6215,0.62,993785
data/raw/nyc/202508-citibike-tripdata_1.parquet,end_lat,DOUBLE,1000000,6211,0.62,993789
data/raw/nyc/202508-citibike-tripdata_1.parquet,end_lng,DOUBLE,1000000,6211,0.62,993789
data/raw/nyc/202508-citibike-tripdata_5.parquet,end_station_name,VARCHAR,1000000,6207,0.62,993793
data/raw/nyc/202505-citibike-tripdata_3.parquet,end_station_id,VARCHAR,1000000,6196,0.62,993804
data/raw/nyc/202505-citibike-tripdata_3.parquet,end_lat,DOUBLE,1000000,6187,0.62,993813
data/raw/nyc/202505-citibike-tripdata_3.parquet,end_lng,DOUBLE,1000000,6187,0.62,993813
data/raw/nyc/202505-citibike-tripdata_3.parquet,end_station_name,VARCHAR,1000000,6126,0.61,993874
data/raw/nyc/202508-citibike-tripdata_1.parquet,end_station_name,VARCHAR,1000000,6076,0.61,993924
data/raw/nyc/202510-citibike-tripdata_3.parquet,end_station_id,VARCHAR,1000000,5656,0.57,994344
data/raw/nyc/202510-citibike-tripdata_3.parquet,end_lat,DOUBLE,1000000,5652,0.57,994348
data/raw/nyc/202510-citibike-tripdata_3.parquet,end_lng,DOUBLE,1000000,5652,0.57,994348
data/raw/nyc/202509-citibike-tripdata_1.parquet,end_station_id,VARCHAR,1000000,5396,0.54,994604
data/raw/nyc/202509-citibike-tripdata_1.parquet,end_lat,DOUBLE,1000000,5394,0.54,994606
data/raw/nyc/202509-citibike-tripdata_1.parquet,end_lng,DOUBLE,1000000,5394,0.54,994606
data/raw/nyc/202509-citibike-tripdata_1.parquet,end_station_name,VARCHAR,1000000,5306,0.53,994694
data/raw/nyc/202504-citibike-tripdata_3.parquet,end_station_id,VARCHAR,1000000,5184,0.52,994816
data/raw/nyc/202504-citibike-tripdata_3.parquet,end_lat,DOUBLE,1000000,5173,0.52,994827
data/raw/nyc/202504-citibike-tripdata_3.parquet,end_lng,DOUBLE,1000000,5173,0.52,994827
data/raw/nyc/202505-citibike-tripdata_1.parquet,end_station_id,VARCHAR,1000000,5157,0.52,994843
data/raw/nyc/202505-citibike-tripdata_1.parquet,end_lat,DOUBLE,1000000,5146,0.51,994854
data/raw/nyc/202505-citibike-tripdata_1.parquet,end_lng,DOUBLE,1000000,5146,0.51,994854
data/raw/nyc/202504-citibike-tripdata_3.parquet,end_station_name,VARCHAR,1000000,5086,0.51,994914
data/raw/nyc/202505-citibike-tripdata_1.parquet,end_station_name,VARCHAR,1000000,5021,0.5,994979
data/raw/nyc/202510-citibike-tripdata_2.parquet,end_station_id,VARCHAR,1000000,5005,0.5,994995
data/raw/nyc/202510-citibike-tripdata_2.parquet,end_lat,DOUBLE,1000000,5001,0.5,994999
data/raw/nyc/202510-citibike-tripdata_2.parquet,end_lng,DOUBLE,1000000,5001,0.5,994999
data/raw/nyc/202510-citibike-tripdata_3.parquet,end_station_name,VARCHAR,1000000,4997,0.5,995003
data/raw/nyc/202510-citibike-tripdata_2.parquet,end_station_name,VARCHAR,1000000,4624,0.46,995376
data/raw/nyc/202511-citibike-tripdata_2.parquet,end_station_id,VARCHAR,1000000,4368,0.44,995632
